subject description|course number|Title|sections|hours|CRN|Instructional methods|instructional |Sunday|Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Start time|End time|Type|Building|Room|Start Date|End Date|seat remain|Class capacity |Schedule type
Mathemathics|180|Calculus I|BD1|0|41822|Meet on campus|Edwards, Sean (Primary)|0|0|1|0|1|0|0|14:00:00|14:50:00|Class|Taft Hall|313|2025-01-13|2025-05-02|1|20|Discussion/Recitation
Mathemathics|180|Calculus I|BD2|0|41823|Meet on campus|Promma, Nat (Primary)|0|0|1|0|1|0|0|13:00:00|13:50:00|Class|Taft Hall|313|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|BD3|0|41824|Meet on campus|Banerjee, Rishi (Primary)|0|0|1|0|1|0|0|11:00:00|23:50:00|Class|Stevenson Hall|211|2025-01-13|2025-05-02|1|21|Discussion/Recitation
Mathemathics|180|Calculus I|BD5|0|41826|Meet on campus|Edwards, Sean (Primary)|0|0|1|0|1|0|0|13:00:00|13:50:00|Class|Taft Hall|309|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|BD6|0|41827|Meet on campus|Promma, Nat (Primary)|0|0|1|0|1|0|0|15:00:00|15:50:00|Class|Taft Hall|313|2025-01-13|2025-05-02|1|21|Discussion/Recitation
Mathemathics|180|Calculus I|BL|4|41821|Meet on campus|Ash, Will (Primary)|0|1|0|1|0|1|0|13:00:00|13:50:00|Class|Science & Engineering South|201|2025-01-13|2025-05-02|3|102|Lecture
Mathemathics|180|Calculus I|CD1|0|16378|Meet on campus|Yang, Yanchao (Primary)|0|0|1|0|1|0|0|08:00:00|08:50:00|Class|Taft Hall|313|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|CD3|0|16380|Meet on campus|Hoach, Austin (Primary)|0|0|1|0|1|0|0|10:00:00|10:50:00|Class|Taft Hall|313|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|CD4|0|16372|Meet on campus|Yang, Yanchao (Primary)|0|0|1|0|1|0|0|09:00:00|09:50:00|Class|Taft Hall|313|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|CD6|0|37819|Meet on campus|Lugo, Jonathan (Primary)|0|0|1|0|1|0|0|08:00:00|08:50:00|Class|Taft Hall|317|2025-01-13|2025-05-02|1|20|Discussion/Recitation
Mathemathics|180|Calculus I|CL|4|38939|Meet on campus|Meyer, McKinley (Primary)|0|1|0|1|0|1|0|08:00:00|08:50:00|Class|Science & Engineering South|201|2025-01-13|2025-05-02|1|80|Lecture
Mathemathics|180|Calculus I|ED1|0|42753|Meet on campus|Hoach, Austin (Primary)|0|0|1|0|1|0|0|09:00:00|09:50:00|Class|Taft Hall|312|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|ED2|0|42754|Meet on campus|Huang, Pubo (Primary)|0|0|1|0|1|0|0|10:00:00|10:50:00|Class|Addams Hall|307|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|ED3|0|42756|Meet on campus|Huang, Pubo (Primary)|0|0|1|0|1|0|0|11:00:00|23:50:00|Class|Addams Hall|307|2025-01-13|2025-05-02|1|20|Discussion/Recitation
Mathemathics|180|Calculus I|ED5|0|37825|Meet on campus|Morris, Hank (Primary)|0|0|1|0|1|0|0|08:00:00|08:50:00|Class|Addams Hall|307|2025-01-13|2025-05-02|8|20|Discussion/Recitation
Mathemathics|180|Calculus I|ED6|0|37826|Meet on campus|Morris, Hank (Primary)|0|0|1|0|1|0|0|09:00:00|09:50:00|Class|Addams Hall|307|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|EL1|4|42597|Meet on campus|Hamed, Duha (Primary)|0|1|0|1|0|1|0|09:00:00|09:50:00|Class|Science & Engineering South|201|2025-01-13|2025-05-02|9|100|Lecture
Mathemathics|180|Calculus I|FD2|0|16388|Meet on campus|Lee, Bonghun (Primary)|0|0|1|0|1|0|0|08:00:00|08:50:00|Class|Stevenson Hall|207|2025-01-13|2025-05-02|2|20|Discussion/Recitation
Mathemathics|180|Calculus I|FD3|0|16389|Meet on campus|Solak, John (Primary)|0|0|1|0|1|0|0|11:00:00|23:50:00|Class|Taft Hall|317|2025-01-13|2025-05-02|0|21|Discussion/Recitation
Mathemathics|180|Calculus I|FD4|0|16374|Meet on campus|Capultitla Hernandez, Juan (Primary)|0|0|1|0|1|0|0|10:00:00|10:50:00|Class|Taft Hall|317|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|FD5|0|37820|Meet on campus|Lee, Bonghun (Primary)|0|0|1|0|1|0|0|09:00:00|09:50:00|Class|Stevenson Hall|207|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|FD6|0|37821|Meet on campus|Capultitla Hernandez, Juan (Primary)|0|0|1|0|1|0|0|09:00:00|09:50:00|Class|Stevenson Hall|316|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|FL|4|38940|Meet on campus|Hamed, Duha (Primary)|0|1|0|1|0|1|0|10:00:00|10:50:00|Class|Science & Engineering South|201|2025-01-13|2025-05-02|2|101|Lecture
Mathemathics|180|Calculus I|GD|0|16371|Meet on campus|Polly, Regan (Primary)|0|0|1|0|1|0|0|14:00:00|14:50:00|Class|Addams Hall|307|2025-01-13|2025-05-02|1|20|Discussion/Recitation
Mathemathics|180|Calculus I|GD1|0|16369|Meet on campus|Pan, Tony (Primary)|0|0|1|0|1|0|0|15:00:00|15:50:00|Class|Addams Hall|307|2025-01-13|2025-05-02|6|20|Discussion/Recitation
Mathemathics|180|Calculus I|GD2|0|16370|Meet on campus|Polly, Regan (Primary)|0|0|1|0|1|0|0|13:00:00|13:50:00|Class|Addams Hall|307|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|GD4|0|30899|Meet on campus|James, David (Primary)|0|0|1|0|1|0|0|14:00:00|14:50:00|Class|Taft Hall|317|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|GD5|0|37822|Meet on campus|Pan, Tony (Primary)|0|0|1|0|1|0|0|16:00:00|16:50:00|Class|Addams Hall|307|2025-01-13|2025-05-02|11|20|Discussion/Recitation
Mathemathics|180|Calculus I|GL|4|38941|Meet on campus|Ash, Will (Primary)|0|1|0|1|0|1|0|14:00:00|14:50:00|Class|Science & Engineering South|201|2025-01-13|2025-05-02|18|100|Lecture
Mathemathics|180|Calculus I|KD1|0|35752|Meet on campus|Chridto, Nick (Primary)|0|0|1|0|1|0|0|13:00:00|13:50:00|Class|Taft Hall|317|2025-01-13|2025-05-02|0|20|Discussion/Recitation
Mathemathics|180|Calculus I|KD2|0|16367|Meet on campus|Gao, Zhorui (Primary)|0|0|1|0|1|0|0|16:00:00|16:50:00|Class|Taft Hall|313|2025-01-13|2025-05-02|7|20|Discussion/Recitation
Mathemathics|180|Calculus I|KD4|0|21161|Meet on campus|Gao, Zhorui (Primary)|0|0|1|0|1|0|0|15:00:00|15:50:00|Class|Taft Hall|317|2025-01-13|2025-05-02|6|20|Discussion/Recitation
Mathemathics|180|Calculus I|KD5|0|16366|Meet on campus|James, David (Primary)|0|0|1|0|1|0|0|13:00:00|13:50:00|Class|Stevenson Hall|311|2025-01-13|2025-05-02|4|20|Discussion/Recitation
Mathemathics|180|Calculus I|KD6|0|37824|Meet on campus|Banerjee, Rishi (Primary)|0|0|1|0|1|0|0|10:00:00|10:50:00|Class|Stevenson Hall|212|2025-01-13|2025-05-02|1|20|Discussion/Recitation
Mathemathics|180|Calculus I|KL|4|38942|Meet on campus|Ash, Will (Primary)|0|1|0|1|0|1|0|15:00:00|15:50:00|Class|Science & Engineering South|201|2025-01-13|2025-05-02|18|100|Lecture
