subject description|course number|Title|secions|hours|CRN|Instructional methods|instructional |Sunday|Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Start time|End time|Type|Building|Room|Start Date|End Date|seat remain|Class capacity |Schedule type
Mathemathics|181|Calculus II|AD|0|21516|Meet on campus|Babaei, Hassan (Primary)|0|0|1|0|1|0|0|09:00:00|09:50:00|Class|Addams Hall|306|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|AD1|0|16407|Meet on campus|Aydogdu, Hazal Sena (Primary)|0|0|1|0|1|0|0|11:00:00|11:50:00|Class|Addams Hall|306|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|AD2|0|16408|Meet on campus|Lange, Michael (Primary)|0|0|1|0|1|0|0|10:00:00|10:50:00|Class|Addams Hall|306|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|AD3|0|33514|Meet on campus|Babaei, Hassan (Primary)|0|0|1|0|1|0|0|08:00:00|08:50:00|Class|Addams Hall|306|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|AD5|0|38031|Meet on campus|Lange, Michael (Primary)|0|0|1|0|1|0|0|09:00:00|09:50:00|Class|Lincoln Hall|215|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|AL|4|38943|On campus and online|Bode, Martina (Primary)|0|1|0|1|0|1|0|08:00:00|08:50:00|Class|Academic and Residential Complex|342|2025-01-13|2025-05-02|0|110|Lecture
Mathemathics|181|Calculus II|BD1|0|41270|Meet on campus|Duan, Yutong (Primary)|0|0|1|0|1|0|0|01:00:00|13:50:00|Class|Addams Hall|306|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|BD2|0|41271|Meet on campus|Shin, Jaegeon (Primary)|0|0|1|0|1|0|0|16:00:00|16:50:00|Class|Addams Hall|306|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|BD4|0|41273|Meet on campus|Duan, Yutong (Primary)|0|0|1|0|1|0|0|14:00:00|14:50:00|Class|Addams Hall|306|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|BD5|0|41274|Meet on campus|Zhu, Haoming (Primary)|0|0|1|0|1|0|0|16:00:00|16:50:00|Class|Stevenson Hall|316|2025-01-13|2025-05-02|6|22|Discussion/Recitation
Mathemathics|181|Calculus II|BD6|0|41275|Meet on campus|Shin, Jaegeon (Primary)|0|0|1|0|1|0|0|17:00:00|17:50:00|Class|Addams Hall|306|2025-01-13|2025-05-02|10|22|Discussion/Recitation
Mathemathics|181|Calculus II|BL|4|41019|Meet on campus|Prostsak, Victor (Primary)|0|1|0|1|0|1|0|16:00:00|16:50:00|Class|Lecture Center Building F|F4|2025-01-13|2025-05-02|16|110|Lecture
Mathemathics|181|Calculus II|CD1|0|33516|Meet on campus|Ravichandran, Shyam (Primary)|0|0|1|0|1|0|0|09:00:00|21:50:00|Class|Taft Hall|312|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|CD2|0|33517|Meet on campus|Cenek, Lisa (Primary)|0|0|1|0|1|0|0|10:00:00|10:50:00|Class|Taft Hall|312|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|CD3|0|33518|Meet on campus|Shi, Xiaoning (Primary)|0|0|1|0|1|0|0|11:00:00|11:50:00|Class|Grant Hall|204|2025-01-13|2025-05-02|0|24|Discussion/Recitation
Mathemathics|181|Calculus II|CD4|0|33519|Meet on campus|Hou, Guanzhou (Primary)|0|0|1|0|1|0|0|11:00:00|11:50:00|Class|Lincoln Hall|215|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|CD6|0|37828|Meet on campus|Ravichandran, Shyam (Primary)|0|0|1|0|1|0|0|08:00:00|08:50:00|Class|Stevenson Hall|308|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|CL|4|38945|Meet on campus|Diep, Vi (Primary)|0|1|0|1|0|1|0|11:00:00|11:50:00|Class|Lecture Center Building F|F4|2025-01-13|2025-05-02|0|112|Lecture
Mathemathics|181|Calculus II|DD1|0|41020|Meet on campus|Shen, Xiaoan (Primary)|0|0|1|0|1|0|0|16:00:00|16:50:00|Class|Taft Hall|305|2025-01-13|2025-05-02|0|23|Discussion/Recitation
Mathemathics|181|Calculus II|DD2|0|41021|Meet on campus|Kruzan, Katie (Primary)|0|0|1|0|1|0|0|14:00:00|14:50:00|Class|Taft Hall|305|2025-01-13|2025-05-02|0|23|Discussion/Recitation
Mathemathics|181|Calculus II|DD3|0|41022|Meet on campus|Shen, Xiaoan (Primary)|0|0|1|0|1|0|0|15:00:00|15:50:00|Class|Taft Hall|305|2025-01-13|2025-05-02|0|23|Discussion/Recitation
Mathemathics|181|Calculus II|DD4|0|41023|Meet on campus|Shi, Xiaoning (Primary)|0|0|1|0|1|0|0|13:00:00|13:50:00|Class|Taft Hall|305|2025-01-13|2025-05-02|0|23|Discussion/Recitation
Mathemathics|181|Calculus II|DD5|0|41024|Meet on campus|Benali, Julian (Primary)|0|0|1|0|1|0|0|17:00:00|17:50:00|Class|Taft Hall|305|2025-01-13|2025-05-02|0|23|Discussion/Recitation
Mathemathics|181|Calculus II|HD1|0|16404|Meet on campus|Aydogdu, Hazal Sena (Primary)|0|0|1|0|1|0|0|13:00:00|13:50:00|Class|Lincoln Hall|215|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|HD2|0|16405|Meet on campus|Chen, Hangsheng (Primary)|0|0|1|0|1|0|0|14:00:00|14:50:00|Class|Taft Hall|316|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|ED1|0|16412|Meet on campus|Benali, Julian (Primary)|0|0|1|0|1|0|0|16:00:00|16:50:00|Class|Stevenson Hall|215|2025-01-13|2025-05-02|0|22|Discussion/Recitation
